30-015-05868,30-015-05873,30-015-05877,30-015-05891,30-015-10259,30-015-10843,30-015-10859,30-015-20277,30-015-20302,30-015-20341,30-015-21700,30-015-23224,30-015-23324,30-015-23680,30-015-25419,30-015-25640,30-015-25697,30-015-25745,30-015-26194,30-015-27106,30-015-27627,30-015-27962,30-015-29345,30-015-29460,30-015-29602,30-015-29605,30-015-29792,30-015-38527,30-015-39736,30-015-42492,30-025-08128,30-025-08148,30-025-08161,30-025-22024,30-025-22390,30-025-24432,30-025-26844,30-025-27358,30-025-27616,30-025-28202,30-025-28237,30-025-28242,30-025-28259,30-025-30660,30-025-31515,30-025-32868,30-025-33398,30-025-33455,30-025-33521,30-025-33653,30-025-35524,30-025-35598,30-025-40162,30-025-40482,30-025-40500,30-025-40813,30-025-41208,30-025-41570,30-025-41735,30-025-42174,30-025-42258,30-025-42462,30-025-42463,30-025-42717,30-025-42759,30-025-23895,30-025-45028,30-015-04749,30-015-29728,30-015-31381,30-015-40435,30-015-40935,30-015-41649,30-015-43805,30-015-43806,30-015-44131,30-015-44416,30-015-44612,30-015-44676,30-015-45204,30-015-45224,30-015-45235,30-015-45237,30-025-25017,30-025-31929,30-025-41524,30-025-42354,30-025-42947,30-025-43379,30-025-43473,30-025-45029,30-025-45127,30-025-45469,30-025-46685,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
 3.05371E+07, 4.02370E+07, 5.53646E+05, 6.50443E+05, 3.00968E+07, 7.20699E+06, 1.18953E+06, 8.18666E+06, 2.94436E+06, 2.79605E+06, 9.86220E+05, 1.65507E+06, 1.27821E+06, 2.98032E+06, 2.05228E+06, 2.04083E+06, 5.55439E+07, 0.00000E+00, 4.35461E+06, 1.47836E+06, 1.27154E+06, 8.77821E+05, 4.87293E+06, 2.57293E+06, 1.36339E+06, 2.27603E+06, 3.57936E+06, 1.23366E+06, 1.36992E+06, 2.45102E+06, 2.39620E+06, 9.30037E+05, 7.39594E+05, 3.99489E+06, 6.84411E+05, 1.48818E+07, 1.71305E+06, 7.17609E+05, 1.59890E+07, 3.78237E+06, 9.95176E+05, 8.18589E+06, 9.91832E+05, 1.25151E+06, 2.09851E+06, 1.12208E+06, 2.64246E+06, 1.51272E+06, 1.64114E+06, 1.70532E+06, 1.44732E+06, 2.48533E+06, 1.20064E+06, 9.04686E+05, 9.47466E+05, 0.00000E+00, 4.64888E+06, 6.94666E+06, 1.02530E+07, 9.50866E+05, 3.66761E+06, 7.14784E+06, 4.58716E+06, 7.81984E+06, 4.66683E+07, 6.99805E+06, 1.59068E+07, 1.93770E+06, 2.87433E+06, 1.92332E+06, 2.02946E+06, 3.89701E+06, 3.44106E+06, 2.19356E+06, 4.80873E+06, 4.74576E+06, 3.57764E+06, 5.57420E+06, 3.16327E+06, 3.61291E+06, 0.00000E+00, 4.98455E+06, 5.91072E+06, 1.71582E+06, 1.68145E+06, 2.18219E+06, 2.34049E+06, 3.47982E+06, 4.27388E+06, 3.47134E+06, 8.14932E+06, 8.14637E+06, 0.00000E+00, 0.00000E+00,
